capture,direction,lane_index,frame_index,subevent_index,subevent_offset,opcode,slot,actor_id,actor_high_nibble,record_stride,field_at_record_plus_8,event_role_match,matching_event_names
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,4,1158679878,4,12,1,no,
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,5,1158679879,4,12,1,no,
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,6,1158679880,4,12,1,no,
party_battle_leve.pcapng,s2c,0,95,2,216,0x0183,7,1158679881,4,12,1,no,
party_battle_leve.pcapng,s2c,0,95,3,368,0x0183,0,1158679882,4,12,1,no,
party_battle_leve.pcapng,s2c,0,95,3,368,0x0183,1,1158679883,4,12,1,no,
party_battle_leve.pcapng,s2c,0,97,2,216,0x0183,0,1158679876,4,12,1,no,
party_battle_leve.pcapng,s2c,0,97,2,216,0x0183,1,43723073,0,12,1,no,
party_battle_leve.pcapng,s2c,0,97,2,216,0x0183,2,43722707,0,12,1,no,
party_battle_leve.pcapng,s2c,0,97,2,216,0x0183,3,1158679877,4,12,1,no,
party_battle_leve.pcapng,s2c,0,97,2,216,0x0183,4,1158679878,4,12,1,no,
